iata_code,name,municipality,iso_region,iso_country,continent,latitude_deg,longitude_deg,elevation_ft
AVA,Anshun Huangguoshu Airport,Anshun (Xixiu),CN-52,CN,AS,26.260556,105.873333,4812
AVK,Arvaikheer Airport,Arvaikheer,MN-055,MN,AS,46.25030136,102.802002,5932
AVL,Asheville Regional Airport,Asheville,US-NC,US,NA,35.436199,-82.541801,2165
AVN,Avignon-Caumont Airport,"Avignon, Vaucluse",FR-PAC,FR,EU,43.907299,4.90183,124
AVP,Wilkes Barre Scranton International Airport,Wilkes-Barre/Scranton,US-PA,US,NA,41.33850098,-75.7233963,962
AVV,Avalon Airport,Lara,AU-VIC,AU,OC,-38.039398,144.468994,35
AWA,Hawassa International Airport,Hawassa,ET-XSD,ET,AF,7.099869,38.396187,5450
AWK,Wake Island Airfield,Wake Island,UM-79,UM,OC,19.282437,166.636637,14
AWZ,Lieutenant General Qasem Soleimani International Airport,Ahvaz,IR-06,IR,AS,31.3374,48.762001,66
AXA,Clayton J Lloyd International Airport,The Valley,AI-U-A,AI,NA,18.204773,-63.05383,127
AXD,Alexandroupoli Democritus Airport,Alexandroupolis,GR-A,GR,EU,40.8559,25.956301,24
AXF,Alxa Left Banner Bayanhot Airport,Bayanhot,CN-15,CN,AS,38.74831,105.58858,4560
AXJ,Amakusa Airport,Amakusa,JP-43,JP,AS,32.482498,130.158997,340
AXM,El Eden Airport,Armenia,CO-QUI,CO,SA,4.45278,-75.7664,3990
AXP,Spring Point Airport,Spring Point,BS-AK,BS,NA,22.441799,-73.970901,11
AXR,Arutua Airport,,PF-U-A,PF,OC,-15.2482996,-146.6170044,9
AXT,Akita Airport,Akita,JP-05,JP,AS,39.615601,140.218994,313
AXU,Axum Airport,Axum,ET-TI,ET,AF,14.1468,38.7728,6959
AYJ,Ayodhya Airport,Faizabad,IN-UP,IN,AS,26.751283,82.155295,335
AYP,Air Force Colonel Alfredo Mendivil Duarte Airport,Ayacucho,PE-AYA,PE,SA,-13.1548,-74.204399,8917
AYQ,Ayers Rock Connellan Airport,Yulara,AU-NT,AU,OC,-25.185913,130.97703,1626
AYT,Antalya International Airport,Antalya,TR-07,TR,AS,36.898701,30.800501,177
AZA,Mesa Gateway Airport,Mesa,US-AZ,US,NA,33.3078,-111.654999,1382
AZD,Shahid Sadooghi Airport,Yazd,IR-21,IR,AS,31.9048996,54.2765007,4054
AZN,Andizhan Airport,Andizhan,UZ-AN,UZ,AS,40.727699,72.293999,1515
AZO,Kalamazoo Battle Creek International Airport,Kalamazoo,US-MI,US,NA,42.23490143,-85.55210114,874
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,DZ-01,DZ,AF,27.837601,-0.186414,919
AZS,Samaná El Catey International Airport,Samana,DO-20,DO,NA,19.269259,-69.737405,30
BAG,Loakan Airport,Baguio,PH-BAG,PH,AS,16.375034,120.619949,4251
BAH,Bahrain International Airport,Manama,BH-15,BH,AS,26.267295,50.63764,6
BAL,Batman Airport,Batman,TR-72,TR,AS,37.92900085,41.11660004,1822
